EmployeeID,Age,BusinessTravel,Department,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Avg_Working_Time,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
1,51,Travel_Rarely,Sales,Female,Entry Level,Healthcare Representative,Married,131160,1.0,11,1.0,6,1,0,0,1.0,High,Very High,Good
2,31,Travel_Frequently,Research & Development,Female,Entry Level,Research Scientist,Single,41890,0.0,23,6.0,3,5,1,4,inf,High,Medium,Best
3,32,Travel_Frequently,Research & Development,Male,Senior Level,Sales Executive,Married,193280,1.0,15,5.0,2,5,0,3,5.0,Medium,Medium,Bad
4,38,Non-Travel,Research & Development,Male,Mid Level,Human Resources,Married,83210,3.0,11,13.0,5,8,7,5,4.333333333333333,Very High,Very High,Better
5,32,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Single,23420,4.0,12,9.0,2,6,0,4,2.25,Very High,Low,Better
6,46,Travel_Rarely,Research & Development,Female,Senior Level,Research Director,Married,40710,3.0,13,28.0,5,7,7,7,9.333333333333334,High,Medium,Good
7,28,Travel_Rarely,Research & Development,Male,Junior Level,Sales Executive,Single,58130,2.0,20,5.0,2,0,0,0,2.5,Low,High,Bad
8,29,Travel_Rarely,Research & Development,Male,Junior Level,Sales Executive,Married,31430,2.0,22,10.0,2,0,0,0,5.0,Low,Medium,Better
9,31,Travel_Rarely,Research & Development,Male,Mid Level,Laboratory Technician,Married,20440,0.0,21,10.0,2,9,7,8,inf,Medium,Very High,Better
10,25,Non-Travel,Research & Development,Female,Senior Level,Laboratory Technician,Divorced,134640,1.0,13,6.0,2,6,1,5,6.0,Medium,Low,Better
11,45,Travel_Rarely,Research & Development,Male,Junior Level,Laboratory Technician,Married,79910,0.0,13,21.0,2,20,4,10,inf,High,Very High,Better
12,36,Travel_Rarely,Research & Development,Male,Entry Level,Laboratory Technician,Married,33770,0.0,12,16.0,2,15,10,11,inf,,Very High,Better
13,55,Travel_Rarely,Research & Development,Female,Entry Level,Sales Executive,Single,55380,0.0,17,37.0,2,36,4,13,inf,Very High,Low,Better
14,47,Non-Travel,Research & Development,Male,Entry Level,Research Scientist,Married,57620,1.0,11,10.0,4,10,9,9,10.0,Low,Medium,Good
15,28,Travel_Rarely,Research & Development,Male,Entry Level,Manufacturing Director,Married,25920,1.0,14,5.0,2,5,0,4,5.0,Very High,Very High,Good
16,37,Travel_Rarely,Research & Development,Male,Junior Level,Healthcare Representative,Married,53460,4.0,11,7.0,2,5,0,1,1.75,High,Very High,Best
17,21,Travel_Rarely,Research & Development,Male,Entry Level,Laboratory Technician,Single,42130,1.0,12,3.0,3,3,1,0,3.0,Very High,High,Best
18,37,Non-Travel,Research & Development,Male,Junior Level,Sales Executive,Divorced,41270,2.0,13,15.0,2,5,0,2,7.5,Low,Very High,Better
19,35,Travel_Rarely,Sales,Male,Entry Level,Sales Representative,Divorced,24380,7.0,16,10.0,5,7,6,2,1.4285714285714286,Medium,Medium,Good
20,38,Travel_Rarely,Research & Development,Female,Entry Level,Manager,Divorced,68700,1.0,11,8.0,5,8,7,7,8.0,Low,Low,Better
21,26,Travel_Frequently,Research & Development,Male,Junior Level,Laboratory Technician,Divorced,104470,1.0,18,6.0,3,6,1,4,6.0,High,Medium,Bad
22,50,Travel_Rarely,Sales,Male,Entry Level,Research Scientist,Divorced,96670,3.0,23,28.0,2,10,1,6,9.333333333333334,Low,Medium,Good
23,53,Travel_Rarely,Research & Development,Female,Junior Level,Research Scientist,Married,21480,3.0,11,21.0,2,5,1,3,7.0,High,High,Good
24,42,Travel_Rarely,Research & Development,Male,Entry Level,Manufacturing Director,Married,89260,1.0,14,15.5,4,20,11,6,15.5,Medium,High,Better
25,29,Travel_Frequently,Research & Development,Male,Entry Level,Laboratory Technician,Single,65130,1.0,11,10.0,2,10,0,9,10.0,Medium,Very High,Good
26,55,Travel_Rarely,Research & Development,Female,Entry Level,Research Scientist,Married,67990,3.0,11,12.0,2,10,0,8,4.0,Medium,Very High,Better
27,26,Travel_Frequently,Research & Development,Female,Entry Level,Manager,Married,162910,1.0,22,5.0,3,5,3,3,5.0,Low,Low,Better
28,37,Travel_Rarely,Sales,Male,Entry Level,Research Scientist,Single,27050,1.0,11,17.0,2,17,5,7,17.0,Very High,Very High,Better
29,44,Travel_Frequently,Research & Development,Male,Junior Level,Research Scientist,Divorced,103330,3.0,14,19.0,2,1,0,0,6.333333333333333,Very High,High,Bad
30,38,Travel_Rarely,Sales,Female,Entry Level,Manager,Divorced,44480,9.0,12,10.0,3,2,1,2,1.1111111111111112,Very High,Very High,Better
31,26,Travel_Rarely,Research & Development,Male,Mid Level,Research Scientist,Divorced,68540,2.0,11,5.0,5,3,0,2,2.5,Low,Medium,Better
32,28,Travel_Rarely,Research & Development,Male,Entry Level,Human Resources,Single,96370,1.0,13,5.0,6,5,0,2,5.0,Very High,Very High,Better
33,49,Travel_Frequently,Research & Development,Female,Junior Level,Research Scientist,Single,35910,9.0,13,22.0,2,3,1,2,2.4444444444444446,High,Low,Better
34,36,Travel_Rarely,Sales,Male,Mid Level,Sales Executive,Single,54050,4.0,14,10.0,2,8,7,7,2.5,High,Medium,Better
35,31,Travel_Frequently,Research & Development,Male,Entry Level,Sales Executive,Divorced,46840,1.0,16,2.0,4,2,2,2,2.0,Very High,Medium,Good
36,26,Travel_Rarely,Research & Development,Male,Junior Level,Manager,Single,157870,1.0,12,8.0,5,8,7,4,8.0,Very High,Very High,Better
37,37,Travel_Frequently,Sales,Male,Entry Level,Laboratory Technician,Married,15140,1.0,14,4.0,3,4,1,2,4.0,Medium,Very High,Good
38,42,Travel_Frequently,Sales,Male,Mid Level,Research Director,Married,29560,5.0,13,23.0,2,20,4,8,4.6,High,Medium,Best
39,18,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Single,23350,1.0,14,0.0,3,0,0,0,0.0,High,High,Better
40,35,Travel_Rarely,Sales,Male,Entry Level,Laboratory Technician,Married,51540,0.0,19,12.0,2,11,6,9,inf,High,Medium,Good
41,36,Travel_Frequently,Research & Development,Female,Mid Level,Sales Executive,Married,69620,4.0,12,4.0,2,1,0,0,1.0,High,,Better
42,51,Travel_Rarely,Research & Development,Male,Junior Level,Laboratory Technician,Divorced,56750,5.0,13,13.0,2,4,1,2,2.6,Very High,Medium,Better
43,41,Travel_Rarely,Research & Development,Male,Entry Level,Laboratory Technician,Single,23790,1.0,12,22.0,6,22,0,4,22.0,Very High,Medium,Better
44,18,Travel_Rarely,Sales,Male,Entry Level,Research Scientist,Single,38120,1.0,15,0.0,3,0,0,0,0.0,Very High,High,Better
45,28,Travel_Rarely,Research & Development,Male,Entry Level,Sales Representative,Single,46480,0.0,23,9.0,2,8,0,7,inf,Medium,Low,Better
46,31,Travel_Rarely,Research & Development,Male,Entry Level,Manufacturing Director,Married,29360,4.0,12,10.0,2,8,7,7,2.5,Medium,Very High,Good
47,39,Travel_Rarely,Sales,Female,Junior Level,Human Resources,Divorced,21050,0.0,20,19.0,3,18,3,7,inf,High,Very High,Good
48,36,Non-Travel,Research & Development,Male,Entry Level,Sales Executive,Married,85780,7.0,21,11.0,4,9,0,8,1.5714285714285714,Medium,Medium,Better
49,32,Travel_Rarely,Sales,Male,Junior Level,Laboratory Technician,Married,27060,1.0,21,13.0,4,13,4,8,13.0,Very High,High,Good
50,38,Travel_Rarely,Research & Development,Female,Mid Level,Research Scientist,Married,63840,3.0,19,19.0,4,10,0,1,6.333333333333333,Low,Medium,Better
51,58,Non-Travel,Research & Development,Male,Junior Level,Manufacturing Director,Divorced,39680,2.0,13,12.0,3,5,1,2,6.0,Very High,High,Better
52,31,Travel_Rarely,Research & Development,Female,Mid Level,Research Scientist,Married,99070,0.0,13,6.0,3,5,0,3,inf,High,Very High,Better
53,31,Travel_Rarely,Sales,Male,Junior Level,Sales Executive,Married,132250,3.0,21,9.0,2,2,1,0,3.0,Low,Low,Better
54,45,Travel_Frequently,Research & Development,Female,Entry Level,Sales Executive,Divorced,35400,1.0,13,24.0,6,24,9,11,24.0,Low,Low,Better
55,31,Travel_Rarely,Sales,Female,Junior Level,Research Scientist,Divorced,28040,0.0,19,3.0,0,2,2,2,inf,High,Very High,Bad
56,33,Travel_Frequently,Research & Development,Male,Senior Level,Research Director,Married,193920,6.0,12,12.0,3,10,8,8,2.0,Very High,Medium,Better
