EmployeeID,Age,BusinessTravel,Department,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Avg_Working_Time,JobInvolvement,PerformanceRating
1,51,Travel_Rarely,Sales,Female,Entry Level,Healthcare Representative,Married,131160,1.0,11,1.0,6,1,0,0,1.0,High,Excellent
2,31,Travel_Frequently,Research & Development,Female,Entry Level,Research Scientist,Single,41890,0.0,23,6.0,3,5,1,4,inf,Medium,Outstanding
3,32,Travel_Frequently,Research & Development,Male,Senior Level,Sales Executive,Married,193280,1.0,15,5.0,2,5,0,3,5.0,High,Excellent
4,38,Non-Travel,Research & Development,Male,Mid Level,Human Resources,Married,83210,3.0,11,13.0,5,8,7,5,4.333333333333333,Medium,Excellent
5,32,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Single,23420,4.0,12,9.0,2,6,0,4,2.25,High,Excellent
6,46,Travel_Rarely,Research & Development,Female,Senior Level,Research Director,Married,40710,3.0,13,28.0,5,7,7,7,9.333333333333334,High,Excellent
7,28,Travel_Rarely,Research & Development,Male,Junior Level,Sales Executive,Single,58130,2.0,20,5.0,2,0,0,0,2.5,High,Outstanding
8,29,Travel_Rarely,Research & Development,Male,Junior Level,Sales Executive,Married,31430,2.0,22,10.0,2,0,0,0,5.0,High,Outstanding
9,31,Travel_Rarely,Research & Development,Male,Mid Level,Laboratory Technician,Married,20440,0.0,21,10.0,2,9,7,8,inf,High,Outstanding
10,25,Non-Travel,Research & Development,Female,Senior Level,Laboratory Technician,Divorced,134640,1.0,13,6.0,2,6,1,5,6.0,High,Excellent
11,45,Travel_Rarely,Research & Development,Male,Junior Level,Laboratory Technician,Married,79910,0.0,13,21.0,2,20,4,10,inf,Medium,Excellent
12,36,Travel_Rarely,Research & Development,Male,Entry Level,Laboratory Technician,Married,33770,0.0,12,16.0,2,15,10,11,inf,High,Excellent
13,55,Travel_Rarely,Research & Development,Female,Entry Level,Sales Executive,Single,55380,0.0,17,37.0,2,36,4,13,inf,High,Excellent
